"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "CSS", "SVG", "Properties", "comment", "blank", "total"
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\components\featured.css", "CSS", 0, 0, 0, 0, 115, 0, 0, 2, 30, 147
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\components\footer.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 1, 4, 32
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\components\header.css", "CSS", 0, 0, 0, 0, 48, 0, 0, 2, 13, 63
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\components\nav-buttons.css", "CSS", 0, 0, 0, 0, 57, 0, 0, 11, 17, 85
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\components\reviews.css", "CSS", 0, 0, 0, 0, 242, 0, 0, 25, 70, 337
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\components\sign-in-form.css", "CSS", 0, 0, 0, 0, 152, 0, 0, 34, 50, 236
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\global\boilerplate.css", "CSS", 0, 0, 0, 0, 74, 0, 0, 10, 19, 103
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\global\fonts.css", "CSS", 0, 0, 0, 0, 36, 0, 0, 9, 11, 56
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\global\logo.css", "CSS", 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\global\section.css", "CSS", 0, 0, 0, 0, 68, 0, 0, 7, 18, 93
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\global\sign-in-up.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 8, 12, 53
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movie\style.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 3, 0, 15
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movies\components\all-movies.css", "CSS", 0, 0, 0, 0, 47, 0, 0, 8, 30, 85
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movies\components\footer.css", "CSS", 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movies\components\header.css", "CSS", 0, 0, 0, 0, 50, 0, 0, 2, 13, 65
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movies\components\nav-buttons.css", "CSS", 0, 0, 0, 0, 56, 0, 0, 2, 20, 78
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movies\components\sign-in-form.css", "CSS", 0, 0, 0, 0, 152, 0, 0, 34, 50, 236
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movies\global\boilerplate.css", "CSS", 0, 0, 0, 0, 76, 0, 0, 10, 17, 103
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movies\global\fonts.css", "CSS", 0, 0, 0, 0, 36, 0, 0, 9, 11, 56
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movies\global\logo.css", "CSS", 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movies\global\section.css", "CSS", 0, 0, 0, 0, 57, 0, 0, 25, 17, 99
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movies\global\sign-in-up.css", "CSS", 0, 0, 0, 0, 36, 0, 0, 8, 13, 57
"c:\Users\willi\projects\Flixy\FlixyApp\movies\css-movies\style.css", "CSS", 0, 0, 0, 0, 10, 0, 0, 4, 0, 14
"c:\Users\willi\projects\Flixy\FlixyApp\movies\js-movie\movie-main.js", "JavaScript", 0, 0, 0, 114, 0, 0, 0, 14, 33, 161
"c:\Users\willi\projects\Flixy\FlixyApp\movies\js-movie\movies-main.js", "JavaScript", 0, 0, 0, 172, 0, 0, 0, 19, 68, 259
"c:\Users\willi\projects\Flixy\FlixyApp\movies\movie-2.html", "HTML", 0, 0, 123, 0, 0, 0, 0, 93, 29, 245
"c:\Users\willi\projects\Flixy\FlixyApp\movies\movie-router.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 13, 12, 58
"c:\Users\willi\projects\Flixy\FlixyApp\movies\movie.html", "HTML", 0, 0, 426, 0, 0, 0, 0, 10, 140, 576
"c:\Users\willi\projects\Flixy\FlixyApp\movies\movies-2.html", "HTML", 0, 0, 96, 0, 0, 0, 0, 5, 21, 122
"c:\Users\willi\projects\Flixy\FlixyApp\movies\movies.html", "HTML", 0, 0, 615, 0, 0, 0, 0, 5, 227, 847
"c:\Users\willi\projects\Flixy\FlixyApp\package-lock.json", "JSON", 0, 1020, 0, 0, 0, 0, 0, 0, 1, 1021
"c:\Users\willi\projects\Flixy\FlixyApp\package.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 1, 1036, 3110, 1295, 2919, 27, 2, 1249, 2374, 12013
